system,category,support_gt_images,support_pred_images,low_support,TP,FP,FN,precision,recall,f1
baseline_direct_gemma4_e2b,StruckBy_Hazard,3,4,1,0,4,3,0.0000,0.0000,0.0000
baseline_direct_gemma4_e2b,Electrocution_Hazard,24,9,0,5,4,19,0.5556,0.2083,0.3030
baseline_direct_gemma4_e2b,CaughtInBetween_hazard,10,3,0,1,2,9,0.3333,0.1000,0.1538
baseline_direct_gemma4_e2b,PPE_Violation,40,85,0,22,63,18,0.2588,0.5500,0.3520
baseline_direct_gemma4_e2b,Housekeeping_Storage,48,22,0,10,12,38,0.4545,0.2083,0.2857
baseline_direct_gemma4_e2b,Other,24,13,0,1,12,23,0.0769,0.0417,0.0541
baseline_direct_gemma4_e4b,Fall_Hazard,61,88,0,52,36,9,0.5909,0.8525,0.6980
baseline_direct_gemma4_e4b,StruckBy_Hazard,3,27,1,1,26,2,0.0370,0.3333,0.0667
baseline_direct_gemma4_e4b,Electrocution_Hazard,24,29,0,16,13,8,0.5517,0.6667,0.6038
baseline_direct_gemma4_e4b,CaughtInBetween_hazard,10,9,0,1,8,9,0.1111,0.1000,0.1053
baseline_direct_gemma4_e4b,PPE_Violation,40,46,0,12,34,28,0.2609,0.3000,0.2791
baseline_direct_gemma4_e4b,Housekeeping_Storage,48,63,0,30,33,18,0.4762,0.6250,0.5405
baseline_direct_gemma4_e4b,Other,24,13,0,2,11,22,0.1538,0.0833,0.1081
baseline_direct_llama32_vision_11b_apr2026,Fall_Hazard,61,26,0,18,8,43,0.6923,0.2951,0.4138
baseline_direct_llama32_vision_11b_apr2026,StruckBy_Hazard,3,143,1,3,140,0,0.0210,1.0000,0.0411
baseline_direct_llama32_vision_11b_apr2026,Electrocution_Hazard,24,22,0,8,14,16,0.3636,0.3333,0.3478
baseline_direct_llama32_vision_11b_apr2026,CaughtInBetween_hazard,10,2,0,0,2,10,0.0000,0.0000,0.0000
baseline_direct_llama32_vision_11b_apr2026,PPE_Violation,40,44,0,12,32,28,0.2727,0.3000,0.2857
baseline_direct_llama32_vision_11b_apr2026,Housekeeping_Storage,48,1,0,0,1,48,0.0000,0.0000,0.0000
baseline_direct_llama32_vision_11b_apr2026,Other,24,4,0,0,4,24,0.0000,0.0000,0.0000
baseline_direct_qwen35_27b,Fall_Hazard,61,73,0,52,21,9,0.7123,0.8525,0.7761
baseline_direct_qwen35_27b,StruckBy_Hazard,3,29,1,0,29,3,0.0000,0.0000,0.0000
baseline_direct_qwen35_27b,Electrocution_Hazard,24,24,0,16,8,8,0.6667,0.6667,0.6667
baseline_direct_qwen35_27b,CaughtInBetween_hazard,10,16,0,1,15,9,0.0625,0.1000,0.0769
baseline_direct_qwen35_27b,PPE_Violation,40,53,0,30,23,10,0.5660,0.7500,0.6452
baseline_direct_qwen35_27b,Housekeeping_Storage,48,47,0,25,22,23,0.5319,0.5208,0.5263
baseline_direct_qwen35_27b,Other,24,5,0,3,2,21,0.6000,0.1250,0.2069
baseline_direct_qwen35_2b,Fall_Hazard,61,18,0,13,5,48,0.7222,0.2131,0.3291
baseline_direct_qwen35_2b,StruckBy_Hazard,3,1,1,0,1,3,0.0000,0.0000,0.0000
baseline_direct_qwen35_2b,Electrocution_Hazard,24,5,0,4,1,20,0.8000,0.1667,0.2759
baseline_direct_qwen35_2b,CaughtInBetween_hazard,10,0,0,0,0,10,0.0000,0.0000,0.0000
baseline_direct_qwen35_2b,PPE_Violation,40,48,0,14,34,26,0.2917,0.3500,0.3182
